"","Stage","Date","Distance_km","Type","Winner","Type_general"
"1","1",2017-07-01,14,"Individual time trial","Geraint Thomas","time trial"
"2","2",2017-07-02,203.5,"Flat stage","Marcel Kittel","flat"
"3","3",2017-07-03,212.5,"Medium mountain stage","Peter Sagan","mountain"
"4","4",2017-07-04,207.5,"Flat stage","Arnaud Démare","flat"
"5","5",2017-07-05,160.5,"Medium mountain stage","Fabio Aru","mountain"
"6","6",2017-07-06,216,"Flat stage","Marcel Kittel","flat"
"7","7",2017-07-07,213.5,"Flat stage","Marcel Kittel","flat"
"8","8",2017-07-08,187.5,"Medium mountain stage","Lilian Calmejane","mountain"
"9","9",2017-07-09,181.5,"High mountain stage","Rigoberto Urán","mountain"
"10","10",2017-07-11,178,"Flat stage","Marcel Kittel","flat"
"11","11",2017-07-12,203.5,"Flat stage","Marcel Kittel","flat"
"12","12",2017-07-13,214.5,"High mountain stage","Romain Bardet","mountain"
"13","13",2017-07-14,101,"High mountain stage","Warren Barguil","mountain"
"14","14",2017-07-15,181.5,"Medium mountain stage","Michael Matthews","mountain"
"15","15",2017-07-16,189.5,"Medium mountain stage","Bauke Mollema","mountain"
"16","16",2017-07-18,165,"Medium mountain stage","Michael Matthews","mountain"
"17","17",2017-07-19,183,"High mountain stage","Primož Roglič","mountain"
"18","18",2017-07-20,179.5,"High mountain stage","Warren Barguil","mountain"
"19","19",2017-07-21,222.5,"Flat stage","Edvald Boasson Hagen","flat"
"20","20",2017-07-22,22.5,"Individual time trial","Maciej Bodnar","time trial"
"21","21",2017-07-23,103,"Flat stage","Dylan Groenewegen","flat"
"22","1",2016-07-02,188,"Flat stage","Mark Cavendish","flat"
"23","2",2016-07-03,183,"Flat stage","Peter Sagan","flat"
"24","3",2016-07-04,223.5,"Flat stage","Mark Cavendish","flat"
"25","4",2016-07-05,237.5,"Flat stage","Marcel Kittel","flat"
"26","5",2016-07-06,216,"Medium mountain stage","Greg Van Avermaet","mountain"
"27","6",2016-07-07,190.5,"Flat stage","Mark Cavendish","flat"
"28","7",2016-07-08,162.5,"Medium mountain stage","Steve Cummings","mountain"
