Stage,Date,Distance,Type,Winner
1,2018-07-07,201 km (125 mi) ,Flat stage , Fernando Gaviria (COL)
2,2018-07-08,182.5 km (113 mi) ,Flat stage , Peter Sagan (SVK)
3,2018-07-09,35.5 km (22 mi) ,Team time trial , BMC Racing Team
4,2018-07-10,195 km (121 mi) ,Flat stage , Fernando Gaviria (COL)
5,2018-07-11,204.5 km (127 mi) ,Hilly stage , Peter Sagan (SVK)
6,2018-07-12,181 km (112 mi) ,Hilly stage , Dan Martin (IRL)
7,2018-07-13,231 km (144 mi) ,Flat stage , Dylan Groenewegen (NED)
8,2018-07-14,181 km (112 mi) ,Flat stage , Dylan Groenewegen (NED)
9,2018-07-15,156.5 km (97 mi) ,Hilly stage , John Degenkolb (GER)
10,2018-07-17,158.5 km (98 mi) ,Mountain stage , Julian Alaphilippe (FRA)
11,2018-07-18,108.5 km (67 mi) ,Mountain stage , Geraint Thomas (GBR)
12,2018-07-19,175.5 km (109 mi) ,Mountain stage , Geraint Thomas (GBR)
13,2018-07-20,169.5 km (105 mi) ,Flat stage , Peter Sagan (SVK)
14,2018-07-21,188 km (117 mi) ,Hilly stage , Omar Fraile (ESP)
15,2018-07-22,181.5 km (113 mi) ,Hilly stage , Magnus Cort Nielsen (DEN)
16,2018-07-24,218 km (135 mi) ,Mountain stage , Julian Alaphilippe (FRA)
17,2018-07-25,65 km (40 mi) ,Mountain stage , Nairo Quintana (COL)
18,2018-07-26,171 km (106 mi) ,Flat , Arnaud Démare (FRA)
19,2018-07-27,200.5 km (125 mi) ,Mountain stage , Primož Roglič (SLO)
20,2018-07-28,31 km (19 mi) ,Individual time trial , Tom Dumoulin (NED)
21,2018-07-29,116 km (72 mi) ,Flat stage , Alexander Kristoff (NOR)
1,2019-07-06,194.5 km (121 mi) ,Flat stage , Mike Teunissen (NED)
2,2019-07-07,27.6 km (17 mi) ,Team time trial , Team Jumbo–Visma (NED)
3,2019-07-08,215 km (134 mi) ,Hilly stage , Julian Alaphilippe (FRA)
4,2019-07-09,213.5 km (133 mi) ,Flat stage , Elia Viviani (ITA)
5,2019-07-10,175.5 km (109 mi) ,Hilly stage , Peter Sagan (SVK)
6,2019-07-11,160.5 km (100 mi) ,Mountain stage , Dylan Teuns (BEL)
7,2019-07-12,230 km (143 mi) ,Flat stage , Dylan Groenewegen (NED)
